"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"NYAC","Kremer, Tom","30-34","44.26","37/5","44.66","1","11"
"TOC","Andrew, Mark","25-29","45.20","43/6","44.89","1","11"
"TOC","McQuet, Murphy","25-29","46.00","43/4","45.21","2","9"
"1693","Bureau, Lucas","30-34","44.42","37/6","45.27","2","9"
"RMRM","Murphy, David","25-29","44.74","43/5","45.31","3","8"
"TOC","Mackrel, Julian","30-34","45.38","37/4","45.36","3","8"
"PINE","Modrov, Drew","35-39","45.72","33/6","45.74","1","11"
"NAM","Greene, Kyle","35-39","45.56","33/5","45.91","2","9"
"TOC","Malone, Reed","30-34","48.50","36/6","46.46","4","7"
"UC22","Scheuermann, Noah","18-24","46.68","47/4","46.51","1","11"
"TOC","Song, Andy","25-29","46.00","43/7","46.51","4","7"
"SCYM","Sarier, Karl","25-29","46.60","43/9","46.56","5","6"
"TXLA","Van Roekel, Benjamin","35-39","46.25","33/7","46.60","3","8"
"NYAC","Keblish, Bryce","25-29","46.46","43/8","46.65","6","5"
"LSM","Brock, Levi","25-29","46.88","42/5","46.69","7","4"
"TXLA","Erzakov, Danila","18-24","48.78","47/2","46.70","2","9"
"SOCK","Marsh, Andrew","30-34","49.89","36/2","46.78","5","6"
"FLAME","Hemmingsen, Luke","18-24","46.32","47/6","46.90","3","8"
"WISC","Sandvold, Caleb","30-34","46.99","37/9","46.93","6","5"
"NYAC","Pretto, Jack","30-34","46.30","37/3","46.98","7","4"
"1693","Healey, Matthew","25-29","46.49","43/2","47.02","8","3"
"NYAC","Kolleck, Trey","25-29","46.84","43/10","47.03","9","2"
"NYAC","Schumacher, Griffin","30-34","46.50","37/8","47.05","8","3"
"MICH","Miller, Daniel","30-34","45.63","37/7","47.13","9","2"
"TOC","Newell, Rob","35-39","48.36","33/9","47.16","4","7"
"FASWM","Gorter, Bradley","35-39","47.31","33/2","47.20","5","6"
"SDSM","Livingston, Eric","25-29","49.45","41/3","47.26","10","1"
"TOC","Jacobsen, Carter","25-29","46.80","43/1","47.27","11","0"
"JACM","Husch, Stephen","25-29","47.25","42/3","47.30","12","0"
"LSM","Fentress, Cody","18-24","50.00","46/4","47.42","4","7"
"TOC","Savulich, Bobby","35-39","46.67","33/3","47.45","6","5"
"NAM","Callahan, Keeler","30-34","49.03","36/7","47.47","10","1"
"NYAC","Schweitzer, Paul-Marc","30-34","48.00","37/10","47.49","11","0"
"PBM","Lotano, Daniel","40-44","46.89","28/5","47.53","1","11"
"NMMS","Travelstead, Benjamin","40-44","48.56","28/3","47.56","2","9"
"NCMS","O'Neill, Timothy","50-54","53.60","21/6","47.68","1","11"
"1693","Brukx, Peter","25-29","47.06","42/7","47.69","13","0"
"1693","Portmann, Jack","25-29","48.73","42/10","47.71","14","0"
"CTS","Kennedy, Kevan","18-24","48.98","47/9","47.90","5","6"
"NYAC","Bogle, Jeremy","25-29","47.00","42/4","47.95","15","0"
"YM","Uszynski, Arthur","25-29","46.96","42/6","48.01","16","0"
"JACM","Irwin, Max","25-29","46.32","43/3","48.02","17","0"
"LRM","Enge, Jeff","35-39","49.45","32/6","48.08","7","4"
"TOC","Davis, Cole","30-34","48.50","36/4","48.09","12","0"
"MICH","Doak, Kevin","40-44","48.39","28/7","48.12","3","8"
"PCST","Strelets, Mikhail","35-39","50.46","32/8","48.14","8","3"
"TW","Smith, Trevor","18-24","46.00","47/5","48.18","6","4.5"
"NBM","Wolbert, Carson","18-24","47.98","47/8","48.18","6","4.5"
"NAM","Nephew, Matthew","30-34","48.22","36/5","48.42","13","0"
"LBG","Pei, Christopher","30-34","49.95","36/9","48.48","14","0"
"TW","Rojas, Caleb","18-24","47.66","47/3","48.56","8","3"
"NITR","Sonheim, Eric","25-29","48.68","42/1","48.57","18","0"
"CVMM","Spargur, Collin","18-24","47.24","47/7","48.73","9","2"
"FLAME","Fiolic, Steve","25-29","49.00","41/5","48.80","19","0"
"FLAME","Hemmingsen, RJ","25-29","49.24","41/4","48.80","19","0"
"MICH","Kutschke, John","25-29","49.08","41/6","48.98","21","0"
"MOVY","Murdock, Micah","25-29","50.14","40/5","49.11","22","0"
"WISC","Babcock, Andrew","45-49","48.23","25/5","49.12","1","11"
"LRM","Markovic, Srdan","40-44","49.24","28/2","49.12","4","7"
"TOC","Valdivieso, Juan","40-44","47.96","28/6","49.13","5","6"
"GVM","Hughes, Roderick","25-29","49.97","41/10","49.14","23","0"
"ASC","Vogel, Jake","35-39","49.99","32/4","49.16","9","2"
"NAM","Barnes, Carson","25-29","52.99","39/4","49.19","24","0"
"TOC","Hughes, Bryan","30-34","50.00","36/1","49.20","15","0"
"AKMS","Petersen, Lucas","40-44","49.49","28/9","49.26","6","5"
"UC18","Singleton Jr, Eddis","40-44","49.90","28/1","49.28","7","4"
"NAM","Pietrzak, Devin","50-54","49.22","22/5","49.35","2","9"
"TXLA","Flynn, Christopher","25-29","47.50","42/8","49.39","25","0"
"UC36","Linggi, Caleb","18-24","52.44","45/6","49.41","10","1"
"NOVA","Assouab, Adil","30-34","47.88","37/1","49.42","16","0"
"GCPS","McGillicuddy, Matthew","40-44","50.43","28/10","49.43","8","3"
"UC33","Lim, Adrian","25-29","51.53","40/9","49.50","26","0"
"MICH","Kristensen, Jens","50-54","50.18","22/4","49.52","3","8"
"FASWM","Tredennick, Thomas","35-39","49.13","33/10","49.52","10","1"
"SDSM","Howard, Jason","18-24","50.54","46/9","49.63","11","0"
"AARG","Jeronis, Nicholas","25-29","49.36","41/7","49.64","27","0"
"UC34","Molokov, Max","35-39","45.80","33/4","49.70","11","0"
"LOCOM","Schuster, Kevin","35-39","53.62","31/8","49.77","12","0"
"URI","Thomas, Ben","18-24","49.80","47/1","49.80","12","0"
"LSM","Lohmann, Pablo","45-49","49.40","25/4","49.91","2","9"
"WISC","Barrowclift, Michael","30-34","50.41","36/10","49.99","17","0"
"RMRM","Saum, Brett","45-49","50.79","25/3","50.03","3","8"
"AAMAH","Francois, John","25-29","51.28","40/2","50.11","28","0"
"1693","Johnson, Christopher","18-24","50.20","46/3","50.17","13","0"
"1693","Owen, Michael","18-24","49.81","47/10","50.20","14","0"
"OREG","Troy, Ryan","30-34","49.46","36/3","50.23","18","0"
"TXLA","Wendt, Joseph","18-24","51.50","46/10","50.24","15","0"
"MOST","Nichols, Steve","60-64","50.72","14/5","50.33","1","11"
"NAM","Birnbrich, Luke","25-29","49.90","41/1","50.34","29","0"
"O2","Vitthanala, Nihar","18-24","50.04","46/7","50.37","16","0"
"1693","Ryan, Michael","18-24","50.53","46/2","50.45","17","0"
"PSCM","Hendrix, Cameron","25-29","51.71","40/1","50.55","30","0"
"CAMS","Patino, Richard","55-59","50.39","19/5","50.58","1","11"
"NYAC","Blaze, Cliff","50-54","51.95","22/8","50.63","4","7"
"UC50","Maughan, Calvin","60-64","56.00","13/6","50.70","2","9"
"OREG","Mesford, Chase","35-39","49.30","32/5","50.76","13","0"
"RMRM","Green, Cameron","30-34","53.11","35/8","50.77","19","0"
"1693","Joo, Jared","25-29","50.16","40/6","50.77","31","0"
"SFTL","Frankovich, Joseph","18-24","50.77","46/1","50.80","18","0"
"SOCK","Eichenseer, Brad","30-34","54.01","35/10","50.92","20","0"
"UC40","Otis, Josh","40-44","50.75","27/6","50.92","9","2"
"MICH","Mitchell, Ayinde","45-49","49.75","25/7","50.94","4","7"
"NOVA","Bartosh, Travis","40-44","50.93","27/7","50.98","10","1"
"CWTWN","Chiu, Brendon","30-34","1:00.00","29/4","50.98","21","0"
"CDCH","Garnica, Yael","30-34","49.55","36/8","51.05","22","0"
"SCM","Shino, Trent","40-44","50.55","27/5","51.06","11","0"
"NITR","Unruh, Steven","55-59","50.46","19/6","51.07","2","9"
"RMRM","Pierce, Jeff","40-44","50.78","27/4","51.13","12","0"
"TVM","Conway, Adam","45-49","49.00","25/6","51.27","5","6"
"UC22","Turney, Avery","25-29","51.99","39/5","51.33","32","0"
"IM","Batchelder, Elliott","30-34","50.61","35/5","51.35","23","0"
"UC37","Ashland, Nicholas","18-24","52.48","45/4","51.37","19","0"
"IM","Secor, Don","50-54","51.55","22/3","51.38","5","6"
"DSMY","Qualley, Cornelius","40-44","51.71","27/3","51.41","13","0"
"NOVA","West, Steve","50-54","52.00","22/2","51.43","6","5"
"UC38","Mueller, Eric","30-34","52.72","35/3","51.46","24","0"
"SKAN","Balestra, Mike","40-44","53.00","27/9","51.49","14","0"
"WISC","Schuetz, Andrew","25-29","53.25","39/1","51.51","33","0"
"WMST","Gregerson, Neil","30-34","53.91","35/1","51.55","25","0"
"MINN","Hingtgen, Zach","25-29","51.24","40/8","51.55","34","0"
"NYAC","Vicioso, Emilio","18-24","50.00","46/6","51.57","20","0"
"PBM","Vivo, Jeffrey","35-39","48.90","33/1","51.64","14","0"
"WISC","Bell, Bryan","45-49","52.81","25/2","51.67","6","5"
"IM","Fisher, Nathan","35-39","51.62","32/10","51.67","15","0"
"CHEL","Wright, Tracy","45-49","52.00","25/8","51.76","7","4"
"NOVA","Terrell, Josh","40-44","49.00","28/8","51.77","15","0"
"REDT","Yang, Nicholas","25-29","56.70","38/6","51.85","35","0"
"REDT","Frederick, Aaron","30-34","52.54","35/4","52.03","26","0"
"FASWM","Nitto, Robert","35-39","50.82","32/9","52.08","16","0"
"MICH","Larkins, Justin","25-29","53.20","39/2","52.20","36","0"
"URI","Sweney, Grant","18-24","53.52","45/1","52.24","21","0"
"NASH","Miller, Rusty","50-54","50.03","22/6","52.25","7","4"
"ASC","Orris, Ron","50-54","52.52","22/1","52.26","8","3"
"GTX","Ellison, Andrew","25-29","51.90","40/10","52.30","37","0"
"LOCOM","Whitford, Matthew","45-49","54.22","24/7","52.31","8","3"
"URI","Capen, Zachary","18-24","53.32","45/2","52.42","22","0"
