"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"NYAC","Kremer, Tom","30-34","48.48","20/7","47.79","1","11"
"NYAC","Fong, Zachary","25-29","46.36","25/5","48.25","1","11"
"TOC","Affeld, Jonathan","18-24","50.00","27/7","48.40","1","11"
"NYAC","Otto, Matthew","25-29","50.84","25/1","48.77","2","9"
"UC22","Scheuermann, Noah","18-24","48.99","27/6","48.88","2","9"
"TOC","Solaeche, Eduardo","30-34","48.08","20/4","49.13","2","9"
"NYAC","Fong, Joshua","18-24","48.00","27/5","49.14","3","8"
"NYAC","Luchsinger, Thomas","30-34","50.00","20/3","49.25","3","8"
"1693","Bureau, Lucas","30-34","47.67","20/5","49.37","4","7"
"NYAC","Phillips, Timothy","30-34","47.87","20/6","49.62","5","6"
"NYAC","Keblish, Bryce","25-29","49.72","25/4","49.97","3","8"
"MINN","Boston, Bryce","25-29","49.14","25/6","50.00","4","7"
"TXLA","Erzakov, Danila","18-24","50.66","27/3","50.31","4","7"
"TOC","McQuet, Murphy","25-29","53.00","24/9","50.42","5","6"
"TOC","Song, Andy","25-29","50.00","25/3","50.45","6","5"
"WISC","Sandvold, Caleb","30-34","50.67","20/8","50.58","6","5"
"JACM","Irwin, Max","25-29","50.15","25/8","50.90","7","4"
"1693","Portmann, Jack","25-29","52.99","24/2","51.02","8","3"
"JACM","Husch, Stephen","25-29","51.10","24/5","51.10","9","2"
"O*H*","Chase, Ethan","30-34","51.92","20/1","51.12","7","4"
"TOC","Cono, Benjamin","25-29","49.82","25/7","51.28","10","1"
"HSAM","Edgar, Steven","30-34","52.99","20/10","51.33","8","3"
"PBM","Lotano, Daniel","40-44","50.96","14/6","51.33","1","11"
"UC05","LaPorte, Leonardo","25-29","50.15","25/2","51.41","11","0"
"NICK","Schwippert, Matthew","30-34","53.15","19/5","51.52","9","2"
"GAJA","West, Chandler","35-39","51.85","17/6","51.63","1","11"
"1693","Brukx, Peter","25-29","50.56","25/9","51.73","12","0"
"MICH","Doak, Kevin","40-44","52.75","14/7","51.77","2","9"
"NAM","Callahan, Keeler","30-34","54.03","19/4","51.83","10","1"
"1693","Kettlewell-sites, Sam","25-29","51.08","25/10","51.89","13","0"
"TW","Rojas, Caleb","18-24","49.38","27/4","51.94","5","6"
"1693","Zerunyan, Marko","18-24","51.78","27/2","52.01","6","5"
"TASCM","Tann, Nicholas","25-29","52.50","24/3","52.09","14","0"
"SDSM","Livingston, Eric","25-29","53.69","24/10","52.10","15","0"
"AKMS","Petersen, Lucas","40-44","53.58","14/3","52.11","3","8"
"NYAC","Pretto, Jack","30-34","50.72","20/2","52.32","11","0"
"SDSM","Zeger, Kai","18-24","54.00","27/1","52.35","7","4"
"SDMST","Julien, Zachary","25-29","53.50","24/1","52.45","16","0"
"TOC","Valdivieso, Juan","40-44","51.14","14/4","52.53","4","7"
"RIPT","Aung, Alex","18-24","55.00","26/6","52.58","8","3"
"NYAC","Godsoe, Eugene","35-39","52.81","17/3","52.59","2","9"
"TOC","Hughes, Bryan","30-34","55.55","19/8","52.75","12","0"
"NAM","Barnes, Carson","25-29","54.99","23/8","52.78","17","0"
"TOC","Forker, Shane","25-29","51.20","24/6","52.86","18","0"
"UC43","Diers, Anthony","40-44","55.00","14/1","52.92","5","6"
"PBM","Vivo, Jeffrey","35-39","53.08","17/2","53.04","3","8"
"FLAME","Hemmingsen, RJ","25-29","51.87","24/7","53.06","19","0"
"TOC","Wang, Jackson","35-39","53.00","17/8","53.06","4","7"
"NYAC","Nee, Shawn","25-29","51.24","24/4","53.10","20","0"
"PCST","Strelets, Mikhail","35-39","54.23","17/1","53.11","5","6"
"NCMS","O'Neill, Timothy","50-54","58.20","10/8","53.19","1","11"
"UC33","Barrett, Casey","50-54","53.90","10/5","53.30","2","9"
"CTS","Kennedy, Kevan","18-24","54.99","26/5","53.34","9","2"
"WISC","Babcock, Andrew","45-49","51.94","12/5","53.63","1","11"
"UC22","Turney, Avery","25-29","54.99","23/2","53.66","21","0"
"TXLA","Van Roekel, Benjamin","35-39","54.64","17/10","53.69","6","5"
"NAM","Ness, Eric","35-39","55.00","16/5","53.83","7","4"
"SCM","Shino, Trent","40-44","54.18","14/2","53.95","6","5"
"PSCM","Hendrix, Cameron","25-29","56.72","22/3","53.96","22","0"
"SDSM","Howard, Jason","18-24","56.50","26/7","53.96","10","1"
"TASCM","Pham, Ethan","25-29","55.84","22/5","53.97","23","0"
"MOST","Reeves, Sean","35-39","52.50","17/7","53.98","8","3"
"UC33","Lim, Adrian","25-29","56.53","22/7","53.99","24","0"
"LOCOM","Schuster, Kevin","35-39","1:01.98","15/4","54.01","9","2"
"XCEL","Arteaga, Daniel","35-39","54.00","17/9","54.09","10","1"
"AARG","Jeronis, Nicholas","25-29","52.60","24/8","54.12","25","0"
"LRM","Schildknecht, Calvin","40-44","53.97","14/8","54.13","7","4"
"NOVA","West, Steve","50-54","55.50","10/6","54.19","3","8"
"LTKOP","Sauter, Trace","35-39","55.08","16/6","54.26","11","0"
"OREG","Plocek, Everett","25-29","54.80","23/3","54.27","26","0"
"RIDG","Ayer, Scott","45-49","54.82","12/3","54.30","2","8.5"
"MICH","Mitchell, Ayinde","45-49","53.81","12/4","54.30","2","8.5"
"TW","Nikishenko, Andrii","35-39","57.00","16/7","54.31","12","0"
"TVM","Conway, Adam","45-49","52.50","12/6","54.32","4","7"
