"Club","Swimmer","Age 													Group","Seed 													 														Time","HT/LN","Time","Pl","Pts"
"SCM","Roy, Daniel","25-29","55.56","24/2","53.47","1","11"
"TW","Karpenko, Oleksandr","25-29","52.85","24/6","53.61","2","9"
"TOC","Cono, Benjamin","25-29","51.51","24/5","53.76","3","8"
"LSM","Brock, Levi","25-29","54.75","24/3","54.25","4","7"
"NYAC","Otto, Matthew","25-29","54.16","24/4","54.40","5","6"
"FLAME","Winnett, Justin","25-29","54.34","24/7","54.64","6","5"
"JACM","Husch, Stephen","25-29","54.76","24/8","55.36","7","4"
"ASC","Tierney, Sam","30-34","1:00.00","21/2","55.36","1","11"
"1693","Nitkiewicz, Travis","18-24","56.00","26/5","55.50","1","11"
"WMST","Preda, Valentin","35-39","57.27","18/5","55.90","1","11"
"TOC","Arvidsson, Karl","25-29","58.73","24/10","56.24","8","3"
"NYAC","Vicioso, Emilio","18-24","56.50","26/7","56.40","2","9"
"TOC","Mackrel, Julian","30-34","56.16","21/6","56.42","2","9"
"1693","Brower, Andrew","30-34","55.79","21/5","56.83","3","8"
"NYAC","Dillinger, Thomas","25-29","56.50","24/9","57.37","9","2"
"NOVA","West, Steve","50-54","57.50","13/5","57.40","1","11"
"WISC","Van Cleave, Kevin","25-29","56.87","24/1","57.80","10","1"
"NCMS","Cheifetz, Adam","18-24","56.36","26/4","57.99","3","8"
"OREG","Plocek, Everett","25-29","1:01.62","23/3","58.21","11","0"
"SDSM","Zeger, Kai","18-24","58.30","26/3","58.29","4","7"
"WISC","Sandvold, Caleb","30-34","59.40","21/3","58.35","4","7"
"MINN","Bond, Riley","25-29","59.43","23/5","58.79","12","0"
"NYAC","Cowley, Christopher","30-34","58.31","21/7","59.21","5","6"
"WISC","Lefeber, Joshua","30-34","56.35","21/4","59.31","6","5"
"LRM","Schildknecht, Calvin","40-44","59.94","17/6","59.53","1","11"
"LRM","Shefchik, Byron","50-54","1:00.03","13/6","59.66","2","9"
"NAM","Gutnayer, Daniel","30-34","59.98","21/8","59.94","7","4"
"RMRM","Hansbury, Ethan","18-24","1:01.31","26/8","1:00.13","5","6"
"RMRM","Schmidt, Jesse","25-29","1:03.86","23/9","1:00.13","13","0"
"MVN","Travaini, Carlo","60-64","59.59","9/5","1:00.15","1","11"
"UC22","Turney, Avery","25-29","1:05.97","22/7","1:00.22","14","0"
"CWTWN","Sok, Sam","25-29","1:01.00","23/4","1:00.33","15","0"
"SCYM","Sarier, Karl","25-29","1:03.00","23/2","1:00.35","16","0"
"1693","Joo, Jared","25-29","59.90","23/6","1:00.40","17","0"
"UC25","Hirsekorn, Kurt","45-49","59.00","14/6","1:00.42","1","11"
"AAMAH","Pidgeon, Jack","30-34","1:01.89","21/10","1:00.43","8","3"
"SCM","Shino, Trent","40-44","1:00.76","17/4","1:00.86","2","9"
"SHARK","Deery, Kyle","40-44","1:01.79","17/3","1:00.92","3","8"
"SWMLB","De Michaelis, Andrew","35-39","1:02.99","18/8","1:01.18","2","9"
"NICK","Duszynski, Andrew","30-34","1:00.95","21/1","1:01.29","9","2"
"SWMLB","Yung, Cejih","35-39","1:03.80","18/9","1:01.29","3","8"
"TW","Cooley, Matthew","18-24","1:02.52","26/9","1:01.35","6","5"
"NICK","Le, Michael","25-29","1:01.42","23/7","1:01.38","18","0"
"FASWM","Bowen, Rich","40-44","1:02.94","17/8","1:01.49","4","7"
"GAJA","West, Chandler","35-39","1:01.54","18/7","1:01.58","4","7"
"SKY","Solano, Abraham","55-59","1:01.51","11/5","1:01.82","1","11"
"MOST","Reeves, Sean","35-39","1:01.50","18/6","1:02.10","5","6"
"UC08","Clark, Grant","45-49","1:03.91","14/4","1:02.32","2","8.5"
"TASCM","Pham, Ethan","25-29","1:05.04","22/5","1:02.32","19","0"
"TXLA","Wiggans, Keith","45-49","1:04.60","14/8","1:02.32","2","8.5"
"ASC","Vogel, Jake","35-39","1:02.56","18/3","1:02.36","6","5"
"TXLA","Granet, Thomas","18-24","1:04.00","26/1","1:02.48","7","4"
"TXLA","Jensen, Andrew","30-34","1:02.00","20/5","1:02.49","10","1"
